Publisher,Time,Author,Title
Sterling Children's Books,6/14/16,American Museum of Natural History,Our Solar System
"Norton, W. W. & Company, Inc.",4/18/11,Nell Irvin Painter,The History of White People
"Norton, W. W. & Company, Inc.",4/15/14,J. Peter Burkholder,A History of Western Music / Edition 9
Bedford/St. Martin's,1/16/15,Mary Lynn Rampolla,A Pocket Guide to Writing in History / Edition 8
Candlewick Press,9/8/09,Ari Berk,The Secret History of Mermaids and Creatures of the Deep
Barnes & Noble,4/14/05,Winston S. Churchill,"A History of the English Speaking Peoples, Volume 3 - The Age of Revolution (Barnes & Noble Library of Essential Reading)"
Macmillan Education UK,5/14/12,Kevin Shillington,A History of Africa / Edition 3
Bloomsbury USA,4/27/10,Tom Standage,An Edible History of Humanity
DK,12/15/14,Dorling Kindersley Publishing Staff,Children's Encyclopedia of American History
McGraw-Hill Professional Publishing,11/3/15,Scott Demeter,"5 Steps to a 5 500 AP US History Questions to Know by Test Day, 2nd Edition / Edition 2"
The Overlook Press,2/23/10,Mark Booth,The Secret History of the World
Random House Children's Books,10/27/09,Bill Bryson,A Really Short History of Nearly Everything
Pearson,7/8/11,Erik T. Gilbert,Africa in World History / Edition 3
Wiley,5/2/16,Philip B. Meggs,Meggs' History of Graphic Design / Edition 6
Night Shade Books,7/18/17,Jodi Taylor,And the Rest Is History (Chronicles of St. Mary's Series #8)
Night Shade Books,5/9/17,Jodi Taylor,"Lies, Damned Lies, and History (Chronicles of St. Mary's Series #7)"
Broadway Books,9/20/16,Edward T. O'Donnell,1001 Things Everyone Should Know About Irish-American History
Pearson,10/15/07,Oscar G. Brockett,History of the Theatre / Edition 10
Disney Press,8/25/09,E. Lockhart,The Disreputable History of Frankie Landau-Banks
Pearson,1/22/13,Marilyn Stokstad,Art History Volume 1 / Edition 5
Applewood Books,1/1/13,Grab A Pencil Press,Civil War History Crossword Puzzles
Kingfisher,10/30/12,Editors of Kingfisher,"The Kingfisher History Encyclopedia, 3rd edition"
Barnes & Noble,4/14/05,Winston S. Churchill,"A History of the English Speaking Peoples, Volume 2 - The New World (Barnes & Noble Library of Essential Reading)"
"University of Toronto Press, Higher Education Division",2/17/14,Barbara H. Rosenwein,"A Short History of the Middle Ages, Fourth Edition / Edition 4"
Bedford/St. Martin's,9/12/14,John P. McKay,"A History of World Societies Value, Combined Volume / Edition 10"
Touchstone,8/22/17,Maja Lunde,The History of Bees
Penguin Publishing Group,9/24/13,Neil MacGregor,A History of the World in 100 Objects
Lippincott Williams & Wilkins,11/15/12,Lynn Bickley,Bates' Guide to Physical Examination and History-Taking / Edition 11
DK,10/4/16,Smithsonian National Museum of Natural History,Gem: The Definitive Visual Guide
Princeton University Press,2/13/18,Martin Goodman,A History of Judaism
Lippincott Williams & Wilkins,11/1/16,Lynn S. Bickley,Bates' Pocket Guide to Physical Examination and History Taking / Edition 8
Sterling,3/4/08,Sterling Publishing Co.,Dinosaur Sticker Book
Time Inc. Books,5/10/16,The Editors of TIME-LIFE,History of the Gun in 500 Photographs
Simon & Schuster,11/21/17,The United States Military Academy,West Point History of the American Revolution
Wiley,1/28/14,Wiley,The History of Texas / Edition 5
Johns Hopkins University Press,10/31/11,John R. Thelin,A History of American Higher Education / Edition 2
HarperCollins Publishers,8/1/17,Jessi Kirby,The Secret History of Us
Barnes & Noble,4/14/05,Winston S. Churchill,"A History of the English Speaking Peoples, Volume 4 - The Great Democracies (Barnes & Noble Library of Essential Reading)"
Barnes & Noble,4/14/05,Winston S. Churchill,"A History of the English Speaking Peoples, Volume 1 - The Birth of Britain (Barnes & Noble Library of Essential Reading)"
Ave Maria Press,10/20/17,Mike Aquilina,A History of the Church in 100 Objects
Phoenix,3/1/11,Neil Oliver,A History Of Scotland
Penguin Publishing Group,10/28/14,Jerry Brotton,A History of the World in 12 Maps
National Geographic Society,11/1/05,National Geographic,National Geographic Visual History of the World
Random House Publishing Group,4/28/92,J. R. R. Tolkien,The Book of Lost Tales 1 (History of Middle-Earth #1)
Oxford University Press,10/11/13,Mary T. Boatwright,A Brief History of the Romans / Edition 2
Random House Publishing Group,7/28/85,Wallace Terry,Bloods; An Oral History of the Vietnam War by Black Veterans
"Barron's Educational Series, Incorporated",8/1/16,John McCannon,"Barron's AP World History with CD-ROM, 7th Edition"
HarperCollins Publishers,9/14/88,Paul Johnson,A History of the Jews
Sterling Children's Books,4/21/15,American Museum of Natural History,ABC Universe
Penguin Publishing Group,1/28/01,Edward Gibbon,The History of the Decline and Fall of the Roman Empire
"Barron's Educational Series, Incorporated",11/1/16,Mark Willner,Global History and Geography Power Pack
DK,9/6/16,Paul D. Hess,American Museum of Natural History Birds of North America
"Norton, W. W. & Company, Inc.",9/29/09,John Merriman,A History of Modern Europe / Edition 3
Houghton Mifflin Harcourt,12/19/17,James Zucker,CliffsNotes AP World History Cram Plan
Bluewood Books,11/28/95,Chrisanne Beckner,100 African Americans Who Shaped American History
Scribner,4/19/04,Hillary Rodham Clinton,Living History
Knopf Doubleday Publishing Group,9/28/91,Diane Ackerman,A Natural History of the Senses
University of Chicago Press,5/28/08,Reinhold Niebuhr,The Irony of American History
Pearson,10/7/11,Gerald Mast,"Short History of the Movies, A , Abridged Edition / Edition 11"
Canoe Press University of the West Indies,12/28/10,Isaac Dookhan,History of the Virgin Islands
Down East Books,8/1/17,Robert W. Cohen,40 Greatest Players in Boston Celtics Basketball History
National Geographic Society,11/4/14,Patricia S. Daniels,"National Geographic Almanac of World History, 3rd Edition"
Jones & Bartlett Learning,3/8/13,Deborah Judd,A History Of American Nursing / Edition 2
Pearson,1/1/13,H. H. Arnason,History of Modern Art Volume I / Edition 7
"Oxford University Press, USA",10/15/10,Patrick O'Brien,Atlas of World History / Edition 2
Dover Publications,4/30/04,T. D. Kendrick,A History of the Vikings
"Career Press, Incorporated",8/28/09,Erich von Daniken,History Is Wrong
Kaplan Publishing,2/7/17,Krista Dornbush,AP U.S. History 2017-2018
"Barron's Educational Series, Incorporated",9/1/15,William V. Melega,Barron's SAT Subject Test World History
Penguin Publishing Group,7/28/94,John Kenneth Galbraith,A Short History of Financial Euphoria
McGraw-Hill Higher Education,10/15/10,Laurie Schneider Adams,A History of Western Art / Edition 5
Random House Publishing Group,4/28/92,J. R. R. Tolkien,The Book of Lost Tales 2 (History of Middle-Earth #2)
Laurence King Publishing,9/26/17,Paul McNeil,The Visual History of Type
DK,7/5/16,Dorling Kindersley Publishing Staff,The History Book
Pearson,7/6/10,Anne D'Alleva,Look! Art History Fundamentals / Edition 3
Penguin Publishing Group,6/25/02,Titus Livy,The Early History of Rome
Pearson,1/18/17,Marilyn Stokstad,Art History Vol 2 / Edition 6
Free Press,7/5/11,Thaddeus Russell,A Renegade History of the United States
No Frills Buffalo,12/22/17,Michael Lauer,The Complete History of Cheektowaga (As I Remember It)
Knopf Doubleday Publishing Group,11/29/16,Robert Tombs,The English and Their History
Pearson,2/25/09,Virginia Wright Wexman,A History of Film / Edition 7
DK,9/1/15,Dorling Kindersley Publishing Staff,Timelines of History
Aviall Services,3/28/06,Anne Millbrooke,Aviation History / Edition 1
Wasteland Press,3/13/15,John A. Yilek,History of Norway
New Leaf Publishing Group,8/28/07,Sebastian Adams,Adams' Chart Of History
Gallery Books,10/15/13,Oliver Stone,The Untold History of the United States
Random House Children's Books,12/9/14,Princeton Review,Cracking the SAT U.S. History Subject Test
"Samuel French, Incorporated",1/1/12,David Rabe,An Early History of Fire
DK,10/4/10,Dorling Kindersley Publishing Staff,Smithsonian Natural History
"Holt, Henry & Company, Inc.",4/1/08,Howard Zinn,A People's History of American Empire
HarperCollins Publishers,8/14/91,Larry Gonick,Cartoon History of the United States
Laurence King Publishing,8/29/17,Caroline Selmes,Sticky History of the World
Pearson,7/29/07,Monica B. Visona,A History of Art in Africa / Edition 2
Penguin Publishing Group,12/27/05,Lauren Willig,The Secret History of the Pink Carnation (Pink Carnation Series #1)
College Board,9/5/17,The College Board,The Official SAT Subject Test in World History Study Guide
"Rowman & Littlefield Publishers, Inc.",11/1/17,Mike Klis,The 50 Greatest Players in Denver Broncos History
"Oxford University Press, USA",5/9/11,Ted Gioia,The History of Jazz
DK,2/7/17,Dorling Kindersley Publishing Staff,100 Women Who Made History
Dover Publications,6/20/00,John Grafton,"The Declaration of Independence and Other Great Documents of American History, 1775-1864"
Haymarket Books,4/1/07,Leon Trotsky,History of the Russian Revolution
Abingdon Press,3/1/16,Gary L. Roberts,Massacre at Sand Creek: How Methodists Were Involved in an American Tragedy
Bedford/St. Martin's,1/10/14,James A. Henretta,"America's History, Volume II / Edition 8"
Bedford/St. Martin's,12/4/15,Jules R. Benjamin,A Student's Guide to History / Edition 13
Bedford/St. Martin's,9/16/16,John P. McKay,"A History of Western Society, Value Edition, Volume 1 / Edition 12"
Research & Education Association,2/12/15,Larry Krieger,AP U.S. History Crash Course Book + Online / Edition 3
PowerNomics Corporation of America,12/1/97,Claud Anderson,"Dirty Little Secrets about Black History, Heroes and Other Troublemakers"
Chronicle Books LLC,9/1/10,Matt Warshaw,The History of Surfing
Traudl Wöhlke,5/25/16,Pfiffikus,"Famous Artists and Painters for Kids! Children's Art History Edition - Children's Arts, Music & Photography Books"
Cambridge University Press,1/25/10,Patricia Buckley Ebrey,The Cambridge Illustrated History of China / Edition 2
Thames & Hudson,9/29/16,Maureen Furniss,A New History of Animation
Cengage Learning,1/1/16,Elizabeth Cobbs,"Major Problems in American History, Volume II / Edition 4"
Pearson,1/22/17,Marilyn Stokstad,Art History Vol 1 / Edition 6
Penguin Publishing Group,1/28/77,Geoffrey of Monmouth,The History of the Kings of Britain
Pearson,7/12/11,Peter N. Stearns,"Documents in World History, Volume 1 / Edition 6"
Counterpoint Press,11/11/14,Lamar Waldron,The Hidden History of the JFK Assassination
Canongate U.S.,9/28/06,Karen Armstrong,A Short History of Myth
DK,2/6/18,Andrea Mills,100 Scientists Who Made History
"Golgotha Press, Inc.",4/9/16,KidCaps,The History of the Civil War for Kids
"Little, Brown Books for Young Readers",10/1/09,Matt Christopher,Great Moments in Basketball History
Thunder Bay Press,6/14/16,Sarah Baxter,A History of the World in 500 Walks
Michael O'Mara Books,1/1/18,Emma Marriott,The History of the World in Bite-Sized Chunks
Rutgers University Press,2/15/13,Wheeler Winston Dixon,A Short History of Film / Edition 2
Yale University Press,4/29/14,Leonard Thompson,"A History of South Africa, Fourth Edition"
Random House Publishing Group,11/28/92,Rolling Stone Magazine,Rolling Stone Illustrated History of Rock and Roll; The Definitive History of the Most Important Artists and Their Music
Cengage Learning,1/1/11,Gavin Lewis,"WCIV, Volume II (with Review Cards and History CourseMate with eBook, Wadsworth Western Civilization Resource Center 2-Semester Printed Access Card)"
Research & Education Association,10/2/15,Matt Curless,"AP® Art History Crash Course, 2nd Ed., Book + Online / Edition 2"
Clerisy Press,5/1/11,John Snyder,365 Oddball Days in St. Louis Cardinals History
Pearson,1/28/10,Gerald Mast (late),A Short History of the Movies / Edition 11
Free Press,2/28/06,Francis Fukuyama,The End of History and the Last Man
Tyndale House Publishers,2/28/03,E. Michael Rusten,The One Year Christian History
Shambhala,5/2/17,Ken Wilber,A Brief History of Everything (20th Anniversary Edition)
"Rowman & Littlefield Publishers, Inc.",1/16/11,Jennifer Kolpacoff Deane,A History of Medieval Heresy and Inquisition
Capstone Press,8/28/12,Michael Burgan,The Split History of the American Revolution (Perspectives Flip Book Series)
Baraka Books,7/28/10,Jacques Lacoursiere,A People's History of Quebec
Cheng & Tsui Company,1/1/98,Paul Kahn,Secret History of the Mongols / Edition 1
Crown/Archetype,5/28/98,Jeffrey C. Stewart,1001 Things Everyone Should Know about African American History
"Oxford University Press, USA",1/18/07,David Harvey,A Brief History of Neoliberalism / Edition 1
Getty Publications,11/1/14,Victoria Finlay,The Brilliant History of Color in Art
Penguin Publishing Group,4/28/90,Eusebius,The History of the Church From Christ to Constantine
Random House Publishing Group,8/28/94,J. R. R. Tolkien,The Lays of Beleriand (History of Middle-Earth #3)
Arcadia Publishing SC,6/4/08,Gregory L. Wellman,"History of Alcatraz Island 1853-2008, California (Images of America Series)"
Sandy Creek,6/10/16,Susan Mayes,Sticker History
Taylor & Francis,10/23/13,Rhoads Murphey,A History of Asia / Edition 7
"Oxford University Press, USA",2/28/99,Geoffrey Nowell-Smith,Oxford History of World Cinema / Edition 1
Wiley,1/14/13,Steven Wallech,"World History, A Concise Thematic Analysis / Edition 2"
Research & Education Association,1/5/15,Gregory Feldmeth,AP® U.S. History All Access Book + Online + Mobile
B&H Publishing Group,10/1/00,Christian History Magazine Editorial Staff,131 Christians Everyone Should Know
Pearson,1/26/15,Penelope J.E. Davies,Janson's History of Art Volume 1 Enhanced Edition / Edition 8
"Interlink Publishing Group, Incorporated",4/1/10,Benjamin Curtis,A Traveller's History of Croatia
"Interlink Publishing Group, Incorporated",1/28/05,Robert Cole,A Traveller's History of France (Traveller's History Series)
"History Press, The",8/28/17,Danielle Teigen,"Hidden History of Fargo, North Dakota"
Pearson,7/13/10,David Raizman,History of Modern Design / Edition 2
Metro Books,6/5/16,Joel Levy,History in 100 Numbers
Amerisearch,1/22/07,William J Federer,What Every American Needs To Know About The Qur'An - A History Of Islam & The United States
"Chicago Review Press, Incorporated",7/1/10,Karen Bush Gibson,Native American History for Kids with 21 Activities
Cengage Learning,9/28/11,Mae Ngai,Major Problems in American Immigration History / Edition 2
Wiley,5/5/14,Steve Wiegand,U.S. History For Dummies
HarperCollins Publishers,1/6/15,Eric Foner,"A Short History of Reconstruction, Updated Edition"
Pearson,6/22/17,Marilyn Stokstad,REVEL for Art History Volume 2 -- Access Card / Edition 6
Bedford/St. Martin's,1/1/14,James A. Henretta,"America's History, Volume 1 / Edition 8"
Arcadia Publishing SC,4/30/18,Gary L. Rider,"Marshall County, West Virginia (Postcard History Series)"
Crown/Archetype,9/28/97,Larry Gonick,"The Cartoon History of the Universe, Volumes 1-7"
Down East Books,11/7/14,Robert W. Cohen,The 50 Greatest Players in Boston Red Sox History
Arcadia Publishing SC,4/30/18,Oliver B. Pollak,"Welcome to Omaha, Nebraska (Postcard History Series)"
"Timber Press, Incorporated",7/24/18,Linda A. Chisholm,The History of Landscape Design in 100 Gardens
Lion Hudson,6/26/18,Tim Dowley,Candle History of the Bible
Yale University Press,6/19/18,John B. Nann,The Yale Law School Guide to Research in American Legal History
"Farrar, Straus and Giroux",6/19/18,Edouard Louis,History of Violence
Yale University Press,4/10/18,Brian Fagan,A Little History of Archaeology
Cambridge University Press,7/14/16,Jonah Salz,A History of Japanese Theatre
"Norton, W. W. & Company, Inc.",4/15/14,Barbara Russano Hanning,Concise History of Western Music / Edition 5
Tom Doherty Associates,8/7/18,Jo Walton,An Informal History of the Hugos
Pen & Sword Books Limited,6/19/18,Ikka Syvanne,The Military History of Late Rome AD 361-395
Arcadia Publishing SC,4/23/18,Patrick Foster,Kenosha's Jeffery & Rambler Automobiles
"Rowman & Littlefield Publishers, Inc.",9/1/18,Robert W. Cohen,The 50 Greatest Players in Green Bay Packers History
Wiley,3/20/07,Ludy T. Benjamin Jr.,A History of Psychology in Letters / Edition 2
Running Press Book Publishers,5/5/15,Josh Leventhal,History of Baseball in 100 Objects
"Oxford University Press, USA",7/12/10,Nicholas Riasanovsky,A History of Russia / Edition 8
Random House Children's Books,8/2/16,Princeton Review,"Cracking the AP World History Exam, 2017 Edition"
Research & Education Association,11/19/12,Editors of REA,CLEP® History of the U.S. I Book + Online
Bantam Books,6/26/15,Thomas Ayres,"A Military Miscellany: Important, Uncommon, and Sometimes Forgotten Facts, Lists and Stories from America's Military History"
Barnes & Noble,6/1/04,Herodotus,Histories (Barnes & Noble Classics Series)
Chronicle Books LLC,3/7/17,Bridget Quinn,Broad Strokes: 15 Women Who Made Art and Made History (in That Order)
Wetknee Books,11/1/17,Aimee Easterling,Incendiary Magic
HarperCollins Publishers,8/1/17,Michael W. Twitty,The Cooking Gene: A Journey Through African American Culinary History in the Old South
Random House Publishing Group,7/14/15,Rhonda K. Garelick,Mademoiselle: Coco Chanel and the Pulse of History
DK,9/1/15,Adam Hart-Davis,History: From the Dawn of Civilization to the Present Day
Penguin Publishing Group,6/2/09,Simon R. Green,Daemons Are Forever (Secret Histories Series #2)
Penguin Publishing Group,5/2/17,Simon R. Green,DR. DOA (Secret Histories Series #10)
HarperCollins Publishers,2/10/15,Yuval Noah Harari,Sapiens: A Brief History of Humankind
Knopf Doubleday Publishing Group,1/24/17,Jane Mayer,Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right
Penguin Publishing Group,6/6/17,Simon R. Green,Moonbreaker (Secret Histories Series #11)
Penguin Publishing Group,6/7/11,Simon R. Green,From Hell with Love (Secret Histories Series #4)
Tom Doherty Associates,6/7/11,Mary Robinette Kowal,Shades of Milk and Honey (Glamourist Histories Series #1)
Penguin Publishing Group,4/15/03,Herodotus,The Histories
Penguin Publishing Group,6/1/10,Simon R. Green,The Spy Who Haunted Me (Secret Histories Series #3)
"Little, Brown and Company",10/17/05,Kate Atkinson,Case Histories (Jackson Brodie Series #1)
Scribner,3/20/18,John Edgar Wideman,American Histories
Penguin Publishing Group,10/3/17,Masha Gessen,The Future Is History: How Totalitarianism Reclaimed Russia
Random House Publishing Group,9/5/17,Kurt Andersen,Fantasyland: How America Went Haywire: A 500-Year History
Tom Doherty Associates,1/12/16,Cixin Liu,The Three-Body Problem (Remembrance of Earth's Past Series #1)
Liveright Publishing Corporation,5/2/17,Richard Rothstein,The Color of Law: A Forgotten History of How Our Government Segregated America
Knopf Doubleday Publishing Group,3/7/17,Peter Frankopan,The Silk Roads: A New History of the World
Oxford University Press,10/2/17,Mike Wallace,Greater Gotham: A History of New York City from 1898 to 1919
PublicAffairs,8/15/17,Ibram X. Kendi,Stamped from the Beginning: The Definitive History of Racist Ideas in America
The New York Times/Callwaya,6/27/17,Peter Baker,Obama: The Call of History
Random House Publishing Group,10/28/14,George R. R. Martin,The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones
Chronicle Books LLC,9/6/16,Ann Shen,Bad Girls Throughout History: 100 Remarkable Women Who Changed the World
Kyle West,12/5/12,Kyle West,"Apocalypse (The Wasteland Chronicles, #1)"
Gallery Books,7/24/12,Stephen King,11/22/63
HarperCollins Publishers,3/8/11,Thomas Asbridge,The Crusades: The Authoritative History of the War for the Holy Land
"Little, Brown Books for Young Readers",12/5/17,Vashti Harrison,Little Leaders: Bold Women in Black History
Knopf Doubleday Publishing Group,9/5/17,Geoffrey C. Ward,The Vietnam War: An Intimate History
HarperCollins Publishers,6/27/17,Joshua Levine,Dunkirk: The History Behind the Major Motion Picture
Tamara Rose Blodgett,7/28/17,Tamara Rose Blodgett,The Reflective (#1)
HarperCollins Publishers,2/21/17,Yuval Noah Harari,Homo Deus: A Brief History of Tomorrow
Pulcheria Press,3/20/13,Alison Morton,INCEPTIO
HarperCollins Publishers,9/12/17,Katy Tur,Unbelievable: My Front-Row Seat to the Craziest Campaign in American History
Windsor's Golden Series,8/28/06,Rudolph R. Windsor,From Babylon to Timbuktu: A History of the Ancient Black Races Including the Black Hebrews
Skyhorse Publishing,12/12/17,Neil Sheehan,The Pentagon Papers: The Secret History of the Vietnam War
Penguin Publishing Group,10/18/16,Brian Kilmeade,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History
Penguin Publishing Group,9/5/17,Josh Dean,The Taking of K-129: How the CIA Used Howard Hughes to Steal a Russian Sub in the Most Daring Covert Operation in History
Penguin Publishing Group,12/28/04,Steve Coll,"Ghost Wars: The Secret History of the CIA, Afghanistan, and bin Laden, from the Soviet Invasion to September 10, 2001"
Touchstone,10/16/07,James W. Loewen,Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong
"Workman Publishing Company, Inc.",8/9/16,Workman Publishing,Everything You Need to Ace World History in One Big Fat Notebook: The Complete Middle School Study Guide
Oxford University Press,9/1/17,Richard White,"The Republic for Which It Stands: The United States during Reconstruction and the Gilded Age, 1865-1896"
Penguin Publishing Group,4/4/17,Nancy  Isenberg,White Trash: The 400-Year Untold History of Class in America
Random House Publishing Group,11/7/17,Reza Aslan,God: A Human History
Liveright Publishing Corporation,9/6/16,Mary Beard,SPQR: A History of Ancient Rome
Tom Doherty Associates,9/5/17,Cixin Liu,Death's End (Remembrance of Earth's Past Series #3)
"Workman Publishing Company, Inc.",8/9/16,Workman Publishing,Everything You Need to Ace American History in One Big Fat Notebook: The Complete Middle School Study Guide
MIT Press,5/12/17,Vaclav Smil,Energy and Civilization: A History
"Experiment, The",10/3/17,Adam Rutherford,A Brief History of Everyone Who Ever Lived: The Human Story Retold Through Our Genes
Houghton Mifflin Harcourt,1/24/12,Philip K. Dick,The Man in the High Castle
Picador,1/6/15,Elizabeth  Kolbert,The Sixth Extinction: An Unnatural History
"Norton, W. W. & Company, Inc.",2/27/18,Joshua B. Freeman,Behemoth: A History of the Factory and the Making of the Modern World
Penguin Publishing Group,6/13/17,Nancy MacLean,Democracy in Chains: The Deep History of the Radical Right's Stealth Plan for America
Scribner,5/2/17,Siddhartha Mukherjee,The Gene: An Intimate History
Tom Doherty Associates,8/16/16,Cixin Liu,The Dark Forest (Remembrance of Earth's Past Series #2)
"Workman Publishing Company, Inc.",10/17/17,Lydia Kang,Quackery: A Brief History of the Worst Ways to Cure Everything
"Little, Brown and Company",1/16/18,Leni Zumas,Red Clocks
HarperCollins Publishers,11/25/14,Chris Kyle,American Sniper (Movie Tie-in Edition): The Autobiography of the Most Lethal Sniper in U.S. Military History
Random House Children's Books,8/1/17,Princeton Review,"Cracking the AP European History Exam, 2018 Edition: Proven Techniques to Help You Score a 5"
Knopf Doubleday Publishing Group,8/28/86,Art Spiegelman,Maus I: A Survivor's Tale: My Father Bleeds History
American Bar Association,5/7/15,Sally Balch Hurme,"ABA/AARP Checklist for My Family: A Guide to My History, Financial Plans and Final Wishes"
Random House Children's Books,9/19/17,Jessica Cluess,A Poison Dark and Drowning (Kingdom on Fire Series #2)
Running Press Book Publishers,10/3/17,Julia Wertz,"Tenements, Towers and Trash: An Unconventional Illustrated History of New York City"
Knopf Doubleday Publishing Group,1/22/13,Haruki Murakami,1Q84
