Publisher,Time,Author,Title,ID
"BenBella Books, Inc.",2004/12/16,Gino Wickman,Rocket Fuel: The One Essential Combination That Will Get You More of What You Want from Your Business,130
Center Street,3/20/18,Areva Martin,Make It Rain!: How to Use the Media to Revolutionize Your Business & Brand,131
Diversion Books,6/17/13,Mark Cuban,"How to Win at the Sport of Business: If I Can Do It, You Can Do It",132
Penguin Publishing Group,2011/12/9,Seth Godin,Purple Cow: Transform Your Business by Being Remarkable,133
Random House Publishing Group,10/27/09,Alice Schroeder,The Snowball: Warren Buffett and the Business of Life,134
Greenleaf Book Group Press,2003/1/12,Grant Cardone,Sell or Be Sold: How to Get Your Way in Business and in Life,135
Wiley,2003/1/4,Patrick M. Lencioni,Death by Meeting: A Leadership Fable...about Solving the Most Painful Problem in Business,136
Howard Books,9/20/11,Dave Ramsey,EntreLeadership: 20 Years of Practical Business Wisdom from the Trenches,137
Penguin Publishing Group,12/27/05,Neil Postman,Amusing Ourselves to Death: Public Discourse in the Age of Show Business,138
PublicAffairs,5/27/14,Erin Meyer,The Culture Map: Breaking Through the Invisible Boundaries of Global Business,139
Potter/TenSpeed/Harmony,11/14/17,Suzanne Somers,"Two's Company: A Fifty-Year Romance with Lessons Learned in Love, Life & Business",140
Oxford University Press,10/30/13,Joanne B. Ciulla,Honest Work: A Business Ethics Reader / Edition 3,141
Baker Publishing Group,2/28/17,William Douglas,The 25 Biblical Laws of Success: Powerful Principles to Transform Your Career and Business,142
Urban Land Institute,2004/1/12,Richard Peiser,Professional Real Estate Development: The ULI Guide to the Business / Edition 3,143
Quercus,9/16/11,Henry Kimsey-House,"Co-Active Coaching: Changing Business, Transforming Lives / Edition 3",144
Adams Media,7/24/06,Terri Morrison,"Kiss, Bow, Or Shake Hands: The Bestselling Guide to Doing Business in More Than 60 Countries",145
Kensington,8/30/16,Carl Weber,No More Mr. Nice Guy: A Family Business Novel,146
Kensington,8/29/17,Carl Weber,Grand Opening 2: A Family Business Novel,147
Random House Publishing Group,2007/2/13,Arthur Herman,Freedom's Forge: How American Business Produced Victory in World War II,148
Wiley,8/16/10,Edgar H. Schein,Organizational Culture and Leadership / Edition 4,149
Prosci Research,8/30/06,Jeffrey M. Hiatt,"Adkar: A Model for Change in Business, Government and Our Community",150
Wiley,3/25/13,Weldon Long,The Power of Consistency: Prosperity Mindset Training for Sales and Business Professionals,151
McGraw-Hill Professional Publishing,1/31/17,O. C. Ferrell,Business Foundations: A Changing World / Edition 11,152
Grand Central Publishing,10/28/94,Chin-Ning Chu,"Thick Face, Black Heart: The Warrior Philosophy for Conquering the Challenges of Business and Life",153
HarperCollins Publishers,1/28/14,Geoffrey A. Moore,"Crossing the Chasm, 3rd Edition: Marketing and Selling Disruptive Products to Mainstream Customers",154
Penguin Publishing Group,3/29/16,Bob Burg,The Go-Giver Leader: A Little Story About What Matters Most in Business,155
Kensington,12/29/15,Carl Weber,To Paris with Love: A Family Business Novel,156
AMACOM,2009/4/12,MIKE WEINBERG,New Sales. Simplified.: The Essential Handbook for Prospecting and New Business Development,157
The Crown Publishing Group,7/16/13,Jack Stack,"The Great Game of Business, Expanded and Updated: The Only Sensible Way to Run a Company",158
Broadview Press,5/26/16,Paul MacRae,Business and Professional Writing: A Basic Guide for Americans,159
Penguin Publishing Group,2005/9/17,Sam Zell,Am I Being Too Subtle?: Straight Talk From a Business Rebel,160
McGraw-Hill Professional Publishing,2003/7/16,Anne T. Lawrence,"Business and Society: Stakeholders, Ethics, Public Policy / Edition 15",161
Harvard Business Review Press,2001/7/14,John Mackey,"Conscious Capitalism, With a New Preface by the Authors: Liberating the Heroic Spirit of Business",162
Wiley,9/27/11,Denis Collins,Business Ethics: An Organizational Systems Approach to Designing Ethical Organizations / Edition 1,163
Hyperion,2011/5/13,Michael Parrish DuDell,Shark Tank Jump Start Your Business: How to Launch and Grow a Business from Concept to Cash,164
CreateSpace Publishing,10/26/17,Moon Journal,"2018 planner: Pink Flower daily planner with weekly monthly calendar and at-a-glace 2018-2019 calendars: 1 year personal planner for business,life goals,passion,and happiness",165
Wiley,10/16/17,Barbara Weltman,J.K. Lasser's Small Business Taxes 2018: Your Complete Guide to a Better Bottom Line,166
University of Chicago Press,2010/6/17,Peter Ginna,"What Editors Do: The Art, Craft, and Business of Book Editing",167
Penguin Publishing Group,8/28/12,Josh Kaufman,The Personal MBA: Master the Art of Business,168
"Planning Shop, The",2006/1/14,Rhonda Abrams,Successful Business Plan: Secrets & Strategies / Edition 6,169
Wiley,2004/3/12,David Weber,"The Food Truck Handbook: Start, Grow, and Succeed in the Mobile Food Business",170
Potter/TenSpeed/Harmony,8/28/96,Jim Rohn,7 Strategies for Wealth and Happiness: Power Ideas from America's Foremost Business Philosopher,171
Harvard Business Review Press,10/31/17,Harvard Business Review,HBR's 10 Must Reads 2018: The Definitive Management Ideas of the Year from Harvard Business Review (with bonus article,172
SAGE Publications,2006/1/15,Natalie C. Canavor,Business Writing Today: A Practical Guide / Edition 2,173
Columbia University Press,2005/1/11,Howard Marks,The Most Important Thing: Uncommon Sense for the Thoughtful Investor,174
Hay House UK,2/21/17,Carrie Green,She Means Business: Turn Your Ideas into Reality and Become a Wildly Successful Entrepreneur,175
"Oxford University Press, USA",1/27/12,Joseph G. Schloss,"Rock: Music, Culture, and Business",176
Penguin Publishing Group,2003/6/18,Adam Alter,Irresistible: The Rise of Addictive Technology and the Business of Keeping Us Hooked,177
Wiley,2006/1/10,John C. Bogle,"Enough: True Measures of Money, Business, and Life",178
Berrett-Koehler Publishers,2009/2/13,Edgar H. Schein,Humble Inquiry: The Gentle Art of Asking Instead of Telling,179
"O'Reilly Media, Incorporated",8/16/13,Foster Provost,Data Science for Business: What you need to know about data mining and data-analytic thinking / Edition 1,180
Entrepreneur Press,2008/9/16,Entrepreneur Media staff,Start Your Own Lawn Care or Landscaping Business: Your Step-by-Step Guide to Success,181
Morgan James Publishing,6/24/14,Jeff Walker,"Launch: An Internet Millionaire's Secret Formula To Sell Almost Anything Online, Build A Business You Love, And Live The Life Of Your Dreams",182
Harvard Business Review Press,2001/3/17,Harvard Business Review,The Harvard Business Review Manager's Handbook: The 17 Skills Leaders Need to Stand Out,183
Entrepreneur Press,1/13/15,Entrepreneur Media Staff,Write Your Business Plan: Get Your Plan in Place and Your Business off the Ground,184
"Rowman & Littlefield Publishers, Inc.",2001/1/18,Gerard Helferich,"An Unlikely Trust: Theodore Roosevelt, J.P. Morgan, and the Improbable Partnership That Remade American Business",185
"Norton, W. W. & Company, Inc.",2001/4/10,Avinash K. Dixit,The Art of Strategy: A Game Theorist's Guide to Success in Business and Life,186
Wiley,5/22/18,Kim Christfort,Business Chemistry: Practical Magic for Crafting Powerful Work Relationships,187
Crown/Archetype,5/15/12,Dick Van Dyke,My Lucky Life In and Out of Show Business: A Memoir,188
Cengage Learning,2001/1/16,O. C. Ferrell,Business Ethics: Ethical Decision Making & Cases / Edition 11,189
Entrepreneur Press,2005/12/15,The Staff of Entrepreneur Media,Start Your Own Food Truck Business: Cart * Trailer * Kiosk * Standard and Gourmet Trucks * Mobile Catering * Bustaurant,190
"BenBella Books, Inc.",2004/8/14,Gino Wickman,Get a Grip: How to Get Everything You Want from Your Entrepreneurial Business,191
"Barron's Educational Series, Incorporated",2007/1/17,Jack P. Friedman Ph.D,Dictionary of Real Estate Terms,192
HarperCollins Publishers,7/24/12,Steven A Silbiger,The Ten-Day MBA 4th Ed.: A Step-by-Step Guide to Mastering the Skills Taught In America's Top Business Schools,193
The Crown Publishing Group,2/28/98,Kevin Freiberg,Nuts!: Southwest Airlines' Crazy Recipe for Business and Personal Success,194
C&T Publishing / Stash Books,2012/1/14,Virginia Lindsay,Sewing to Sell-The Beginner's Guide to Starting a Craft Business: Bonus-16 Starter Projects * How to Sell Locally & Online,195
Grand Central Publishing,11/28/06,Michael Levine,"Broken Windows, Broken Business: How the Smallest Remedies Reap the Biggest Rewards",196
Entrepreneur Press,4/14/15,The Staff of Entrepreneur Media,Start Your Own Event Planning Business: Your Step-By-Step Guide to Success,197
Columbia University Press,8/15/17,Joel Tillinghast,"Big Money Thinks Small: Biases, Blind Spots, and Smarter Investing",198
Penguin Publishing Group,11/14/17,Shawn Askinosie,"Meaningful Work: A Quest to Do Great Business, Find Your Calling, and Feed Your Soul",199
"Hal Elrod International, Inc.",10/23/15,Hal Elrod,The Miracle Morning for Network Marketers: Grow Yourself FIRST to Grow Your Business Fast,200
Wiley,2006/7/16,Galit Shmueli,"Data Mining for Business Analytics: Concepts, Techniques, and Applications with JMP Pro / Edition 1",201
Wiley,2005/9/16,William Mougayar,"The Business Blockchain: Promise, Practice, and Application of the Next Internet Technology",202
Penguin Publishing Group,12/24/12,John Warrillow,Built to Sell: Creating a Business That Can Thrive Without You,203
Atria Books,9/29/09,John Assaraf,"The Answer: Grow Any Business, Achieve Financial Freedom, and Live an Extraordinary Life",204
Knopf Doubleday Publishing Group,8/16/05,James Surowiecki,"The Wisdom of Crowds: Why the Many Are Smarter Than the Few and How Collective Wisdom Shapes Business, Economies, Societies and Nations",205
Marvel,1/16/18,Josh Corin,Spider-Man/Deadpool Vol. 4: Serious Business,206
McGraw-Hill Professional Publishing,12/13/99,William J. O'Neil,24 Essential Lessons for Investment Success: Learn the Most Important Investment Techniques from the Founder of Investor's Business Daily / Edition 1,207
"RDA Press, LLC",5/29/12,Garrett Sutton,Writing Winning Business Plans: How to Prepare a Business Plan that Investors Will Want to Read and Invest In,208
Penguin Publishing Group,2007/5/12,Mike Michalowicz,The Pumpkin Plan: A Simple Strategy to Grow a Remarkable Business in Any Field,209
Entrepreneur Press,4/28/15,Mark J. Kohler,The Tax and Legal Playbook: Game-Changing Solutions to Your Small-Business Questions,210
Pearson,6/25/07,Thomas Donaldson,Ethical Issues in Business: A Philosophical Approach / Edition 8,211
Da Capo Books,2004/6/10,Donald J. Trump,Think Like a Champion: An Informal Education In Business and Life,212
Columbia University Press,1/15/13,Howard Marks,The Most Important Thing Illuminated: Uncommon Sense for the Thoughtful Investor,213
Kensington,5/31/16,Carl Weber,Grand Opening: A Family Business Novel,214
CreateSpace Publishing,1/22/17,Simply Planners,"Monthly Budget Planner: Bill Paying Organizer, Home Budget Planner, Track Business Expenses",215
Lulu.com,5/26/15,Marianne Bradford,"Modern ERP: Select, Implement, and Use Today's Advanced Business Systems",216
"Berrett-Koehler Publishers, Inc.",2002/1/9,Richard A. Swanson,Foundations of Human Resource Development / Edition 2,217
Taylor Trade Publishing,11/17/16,Bernard B. Kamoroff,"Small Time Operator: How to Start Your Own Business, Keep Your Books, Pay Your Taxes, and Stay Out of Trouble",218
Wiley,12/27/16,Edgar H. Schein,Organizational Culture and Leadership / Edition 5,219
Indie Books International,2001/11/18,Sharon Rich,Your Hidden Game: Ten Invisible Agreements That Can Make or Break Your Business,220
Joseph Rudolph Publishers,2003/4/16,Patrick Galvin,The Connector's Way: A Story About Building Business One Relationship at a Time,221
HarperCollins Publishers,2006/2/9,Henry Cloud,Integrity: The Courage to Meet the Demands of Reality: How Six Essential Qualities Determine Your Success in Business,222
HarperCollins Publishers,9/21/10,Jon Scieszka,Guys Read: Funny Business,223
CreateSpace Publishing,2003/4/14,LaFoy Orlando Thomas III Esq.,Generational Wealth: Beginner's Business & Investing Guide,224
"Rodale Press, Inc.",2003/7/17,Ulrich Boser,"Learn Better: Mastering the Skills for Success in Life, Business, and School, or, How to Become an Expert in Just About Anything",225
Liveright Publishing Corporation,12/20/16,Ari Herstand,How To Make It in the New Music Business: Practical Tips on Building a Loyal Following and Making a Living as a Musician,226
Simon & Schuster,1/16/18,Carl J. Schramm,Burn the Business Plan: What Great Entrepreneurs Really Do,227
Mometrix Media LLC,3/31/14,Praxis II Exam Secrets Test Prep Staff,Praxis II Business Education: Content Knowledge (5101) Exam - Secrets Study Guide,228
HarperCollins Publishers,10/21/14,Gene Simmons,"Me, Inc.: Build an Army of One, Unleash Your Inner Rock God, Win in Life and Business",229
Skyhorse Publishing,10/17/17,Theodore Roosevelt Malloch,Common-Sense Business: Principles for Profitable Leadership,230
"Point B, Incorporated",2004/11/16,Thomas Lah,Technology-as-a-Service Playbook: How to Grow a Profitable Subscription Business,231
HarperCollins Publishers,2002/7/6,Thomas J. Peters,In Search of Excellence: Lessons from America's Best-Run Companies,232
The Crown Publishing Group,9/19/06,Linda Kaplan Thaler,The Power of Nice: How to Conquer the Business World with Kindness,233
4C Press,1/30/18,Chris Ducker,Rise of the Youpreneur: The Definitive Guide to Becoming the Go-To Leader in Your Industry and Building a Future-Proof Business,234
Lightning Source Inc,4/13/14,Greg Crabtree,"Simple Numbers, Straight Talk, Big Profits! : 4 Keys to Unlock Your Business Potential",235
Penguin Publishing Group,2008/2/16,Paul Downs,Boss Life: Surviving My Own Small Business,236
Wiley,2004/10/17,Adam Toren,Starting Your Own Business: Become an Entrepreneur!,237
Penguin Publishing Group,5/27/08,Chet Holmes,The Ultimate Sales Machine: Turbocharge Your Business with Relentless Focus on 12 Key Strategies,238
CreateSpace Publishing,8/26/13,David Zielinski,"The Welding Business Owner's Hand Book: How to Start, Establish and Grow a Welding or Manufacturing Business",239
Clydesdale Press,10/31/17,Henry Robert,"Robert's Rules of Order: The Original Manual for Assembly Rules, Business Etiquette, and Conduct",240
CreateSpace Publishing,1/23/17,Suzanne Carpenter,"Art Of Candle Making Business Startup: How to Start, Run & Grow a Million Dollar Success From Home!",241
Tom Ferry Publishing,6/15/17,Tom Ferry,"Mindset, Model and Marketing!: The Proven Strategies to Transform and Grow Your Real Estate Business",242
"Barron's Educational Series, Incorporated",2009/1/13,Peter J. Eisen,Accounting,243
SAGE Publications,1/29/16,Kelly M. Quintanilla,Business and Professional Communication: KEYS for Workplace Excellence / Edition 3,244
Flatiron Books,9/26/17,Jim Koch,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,245
Random House Publishing Group,2003/8/16,Charles Duhigg,Smarter Faster Better: The Transformative Power of Real Productivity,246
Wiley,3/28/01,Allan H. Church,Designing and Using Organizational Surveys: A Seven-Step Process / Edition 1,247
CreateSpace Publishing,2009/5/15,T K Johnson,"How To Build A Freight and Trucking Business: The Only Book You Need To Launch, Grow & Succeed",248
Wiley,2002/8/11,Sam Calagione,"Brewing Up a Business: Adventures in Beer from the Founder of Dogfish Head Craft Brewery, Revised and Updated",249
Cloud Camp Press,1/30/15,Philip F. Anschutz,"Out Where the West Begins: Profiles, Visions, and Strategies of Early Western Business Leaders",250
Berrett-Koehler Publishers,2002/1/16,Ken Jennings,"The Serving Leader: Five Powerful Actions to Transform Your Team, Business, and Community",251
