Publisher,Time,Author,Title
Elsevier Health Sciences,10/14/16,Susan F. Wilson,Health Assessment for Nursing Practice / Edition 6
Pearson,9/26/16,Rachel E. Spector,Cultural Diversity in Health and Illness / Edition 9
Jones & Bartlett Learning,8/12/16,Nanna Cross,Stanfield's Introduction To Health Professions / Edition 7
Springer Publishing Company,6/28/16,Raymond L. Goldsteen,Jonas' Introduction to the U.S. Health Care System / Edition 8
Jones & Bartlett Learning,2/14/17,Patti R. Rose,"Health Disparities, Diversity, And Inclusion"
Sterling,4/1/14,Everyday Health,"Everyday Health My Calorie Counter, Second Edition"
F. A. Davis Company,5/8/14,Larry D. Purnell,Guide to Culturally Competent Health Care 3e / Edition 3
Turner Publishing Company,10/25/11,Merck Editors,Merck Manual Home Health Handbook
Lippincott Williams & Wilkins,9/6/12,Stacey Plichta Kellar,Munro's Statistical Methods for Health Care Research / Edition 6
"Rodale Press, Inc.",4/18/17,Michael Mejia,The Men's Health Gym Bible
Jones & Bartlett Learning,7/10/13,Joanna Hayden,Introduction To Health Behavior Theory / Edition 2
Jones & Bartlett Learning,11/27/13,Regula H. Robnett,Gerontology For The Health Care Professional / Edition 3
Jones & Bartlett Learning,7/29/14,Richard Riegelman,Public Health 101 / Edition 2
Elsevier Health Sciences,12/18/13,Barbara Herlihy,The Human Body in Health and Illness / Edition 5
Jones & Bartlett Learning,9/18/12,Carla Caldwell Stanford,Ethics For Health Professionals
Xlibris Corporation,2/22/17,Eunice Wong,What The Health
Wiley,5/31/16,Timothy Berthold,Foundations for Community Health Workers / Edition 2
Jones & Bartlett Learning,7/12/13,Leiyu Shi,Novick & Morrow's Public Health Administration / Edition 3
Jones & Bartlett Learning,5/25/10,Robert E Burke,Essentials Of Management And Leadership In Public Health
Wiley,9/9/14,Anastasia M. Snelling,Introduction to Health Promotion / Edition 1
"Rodale Press, Inc.",6/17/02,David Joachim,"Man, a Can, a Plan: 50 Great Guy Meals Even You Can Make!"
Jones & Bartlett Learning,9/16/11,Bruce Simons-Morton,Behavior Theory In Health Promotion Practice And Research / Edition 1
Elsevier Health Sciences,1/28/15,Deitra Leonard Lowdermilk,Maternity and Women's Health Care / Edition 11
American Health Information Management Association,12/1/13,Nanette B. Sayles,Introduction to Computer Systems for Health Information Technology / Edition 2
Jones & Bartlett Learning,2/10/11,Demetrius J. Porche,Health Policy / Edition 1
Bernan Press,6/23/14,Mark A. Friend,Fundamentals of Occupational Safety and Health / Edition 6
Jones & Bartlett Learning,9/5/12,Florence Kavaler,Risk Management In Health Care Institutions / Edition 3
Jones & Bartlett Learning,4/6/12,Peter R. Kongstvedt,Essentials Of Managed Health Care / Edition 6
Pearson,1/19/17,Randall R. Cottrell,Principles and Foundations of Health Promotion and Education / Edition 7
Jones & Bartlett Learning,2/7/14,Karen (Kay) M. Perrin,Principles Of Evaluation And Research For Health Care Programs
Jones & Bartlett Learning,11/30/11,Steven A. Finkler,Accounting Fundamentals For Health Care Management / Edition 2
Cengage Learning,1/1/16,Ann Ehrlich,"Student Workbook for Ehrlich/Schroeder/Ehrlich/Schroeder's Medical Terminology for Health Professions, 8th / Edition 8"
Lippincott Williams & Wilkins,9/16/14,Paul Engelkirk,"Burton's Microbiology for the Health Sciences, North American Edition / Edition 10"
Pearson,10/23/14,Mary Jo Clark Ph.D.,Population and Community Health Nursing / Edition 6
Jones & Bartlett Learning,8/4/15,Gordon Edlin,Health And Wellness / Edition 12
"Rodale Press, Inc.",8/20/05,Men's Health Magazine,Men's Health Best: Weight-Free Workout
Jones & Bartlett Learning,3/29/12,Nancy J. Niles,Basic Concepts Of Health Care Human Resource Management
Jones & Bartlett Learning,1/25/12,Mark Edberg,"Essentials Of Health, Culture, And Diversity / Edition 1"
Jones & Bartlett Learning,8/16/13,Jr.,Human Resource Management In Health Care / Edition 2
Stedman's,4/21/11,Stedman's,Stedman's Medical Dictionary for the Health Professions and Nursing / Edition 7
Jones & Bartlett Learning,9/18/12,Carolyn Chambers Clark,Health Promotion For Nurses
Jones & Bartlett Learning,3/8/13,Robert H. Friis,Epidemiology For Public Health Practice / Edition 5
Lippincott Williams & Wilkins,5/27/11,Roxann DeLaet,Introduction to Health Care & Careers
F. A. Davis Company,12/22/11,Theresa A. Beery,Genetics and Genomics in Nursing and Health Care / Edition 1
Health Professions Press,5/1/14,Beaufort B.,Managing Health Services Organizations and Systems / Edition 6
Jones & Bartlett Learning,11/1/10,Lois A. Ritter,Community Mental Health / Edition 1
Jones & Bartlett Learning,3/27/15,George D. Pozgar,Legal Aspects Of Health Care Administration / Edition 12
Jones & Bartlett Learning,4/27/12,Jonathan B. Kotch,Maternal And Child Health / Edition 3
Jones & Bartlett Learning,7/20/15,Jan Kirk Carney,Controversies In Public Health And Health Policy
F. A. Davis Company,2/7/12,Marcia (Marti) A. Lewis,"Medical Law, Ethics, & Bioethics for the Health Professions / Edition 7"
"BenBella Books, Inc.",5/4/10,Linda Bacon,Health At Every Size
Mometrix Media LLC,3/31/14,PSB Exam Secrets Test Prep Staff,PSB Health Occupations Secrets Study Guide
Jones & Bartlett Learning,3/1/17,Judith J. Baker,Health Care Finance (5th Edition) / Edition 5
"Rodale Press, Inc.",3/21/17,Richard H. Pitcairn,Dr. Pitcairn's Complete Guide to Natural Health for Dogs & Cats (4th Edition)
SAGE Publications,1/21/09,M. (Marie) Jeannine Coreil,Social and Behavioral Foundations of Public Health / Edition 2
Jones & Bartlett Learning,1/6/15,J. Glenn Forister,Introduction To Research And Medical Literature For Health Professionals / Edition 4
Jones & Bartlett Learning,2/6/13,Nancy Irwin Maxwell,Understanding Environmental Health / Edition 2
Pearson,1/15/17,Jane Rice,Medical Terminology for Health Care Professionals / Edition 9
LWW,2/28/14,Nancy Getchell,Research Methods in Kinesiology and the Health Sciences / Edition 1
Cengage Learning,1/1/16,Dianne Hales,An Invitation to Health / Edition 17
Elsevier Health Sciences,3/17/14,Elsevier,Legal and Ethical Issues for Health Professions / Edition 3
Lippincott Williams & Wilkins,8/10/16,Mary Beth Early,Mental Health Concepts and Techniques for the Occupational Therapy Assistant / Edition 5
McGraw-Hill Higher Education,3/2/12,Rebecca Ferrini,Health in the Later Years / Edition 5
Pearson,1/7/15,Michele C. Davidson,Olds' Maternal-Newborn Nursing & Women's Health Across the Lifespan / Edition 10
"EWorld, Incorporated",11/28/12,Queen Afua,Heal Thyself for Health and Longevity
Wiley,3/26/13,Peter M. Ginter,The Strategic Management of Health Care Organizations / Edition 7
Springer Publishing Company,3/28/16,Kathleen M. White,"Translation of Evidence into Nursing and Health Care, Second Edition / Edition 2"
Jones & Bartlett Learning,11/6/12,Manoj Sharma,Measurement And Evaluation For Health Educators
Elsevier Health Sciences,12/8/15,Ruth B. Purtilo,Ethical Dimensions in the Health Professions / Edition 6
Elsevier Health Sciences,12/20/13,Barbara Herlihy,Study Guide for The Human Body in Health and Illness / Edition 5
Jones & Bartlett Learning,8/25/10,Bonni C. Hodges,Assessment And Planning In Health Programs / Edition 2
Jones & Bartlett Learning,7/2/14,Charles R. McConnell,The Effective Health Care Supervisor / Edition 8
Internet Marketing Business,9/25/14,George Hoppendale,"Goldendoodles. Ultimate Goldendoodle Dog Manual. Goldendoodle Care, Costs, Feeding, Grooming, Health and Training All Included."
Jones & Bartlett Learning,2/12/16,Lois A. Ritter,Multicultural Health / Edition 2
McGraw-Hill Education,1/13/12,Dale B Hahn,"Understanding Your Health, Loose Leaf Edition / Edition 12"
Jones & Bartlett Learning,8/12/16,Linda Lewis Alexander,New Dimensions In Women's Health / Edition 7
Jones & Bartlett Learning,9/1/11,William A. Sollecito,Mclaughlin And Kaluzny's Continuous Quality Improvement In Health Care / Edition 4
Pearson,7/1/10,John W. Kingdon,"Agendas, Alternatives, and Public Policies, Update Edition, with an Epilogue on Health Care / Edition 2"
Wiley,4/27/09,Roberta Carroll,Risk Management Handbook for Health Care Organizations / Edition 5
McGraw-Hill Higher Education,1/5/15,Carlene Harrison,Law & Ethics for Health Professions / Edition 7
Oxford University Press,11/24/05,Michael Marmot,Social Determinants of Health / Edition 2
Springer Publishing Company,4/28/15,Suellen Breakey,Global Health Nursing in the 21st Century
Human Kinetics Publishers,5/19/09,Human Kinetics,Health and Wellness for Life w/Online Study Guide
Lippincott Williams & Wilkins,9/22/14,Barbara Janson Cohen,Memmler's The Human Body in Health and Disease / Edition 13
Springer Publishing Company,11/28/13,Kristin A. Riekert,The Handbook of Health Behavior Change / Edition 4
Cengage Learning,2/1/16,Dakota Mitchell,Introduction to Health Care / Edition 4
Jones & Bartlett Learning,2/7/13,Kathryn H. Jacobsen,Introduction To Global Health / Edition 2
Jones & Bartlett Learning,8/29/16,Eric N. Berkowitz,Essentials Of Health Care Marketing / Edition 4
Jones & Bartlett Learning,9/22/14,Karen (Kay) M. Perrin,Essentials Of Planning And Evaluation For Public Health
Wiley,11/8/11,Sarah Gehlert,Handbook of Health Social Work / Edition 2
Cengage Learning,1/1/14,Lynn R Marotz,"Health, Safety, and Nutrition for the Young Child / Edition 9"
Jones & Bartlett Learning,2/22/17,Kristina M. Young,Sultz & Young's Health Care USA / Edition 9
Jones & Bartlett Learning,8/18/11,Gary D. Gilmore,Needs And Capacity Assessment Strategies For Health Education And Health Promotion / Edition 4
Elsevier Health Sciences,9/30/13,Stephen Polgar,Introduction to Research in the Health Sciences / Edition 6
Jones & Bartlett Learning,12/2/15,David Tipton,Personal And Professional Growth For Health Care Professionals
"Guilford Publications, Inc.",3/30/12,Charles H. Zeanah Jr.,"Handbook of Infant Mental Health, Third Edition / Edition 3"
Elsevier Health Sciences,9/8/14,Kim Cooper,Foundations and Adult Health Nursing / Edition 7
Jones & Bartlett Learning,9/29/10,Claudia Parvanta,Essentials Of Public Health Communication / Edition 1
Jones & Bartlett Learning,2/6/13,Bernadette Howlett,Evidence Based Practice For Health Professionals
Wiley,1/4/13,Kevin B. Wright,Health Communication in the 21st Century / Edition 2
Jones & Bartlett Learning,2/14/13,Sharon B. Buchbinder,Cases In Health Care Management
Rutgers University Press,7/31/12,Meredith Minkler,Community Organizing and Community Building for Health and Welfare / Edition 3
Pearson,2/24/15,Donita T D'Amico,Health & Physical Assessment In Nursing / Edition 3
Jones & Bartlett Learning,2/21/17,William O. Cleverley,Essentials Of Health Care Finance / Edition 8
Jones & Bartlett Learning,8/14/15,Nancy Borkowski,"Organizational Behavior, Theory, And Design In Health Care / Edition 2"
Jones & Bartlett Learning,3/15/13,Louis G. Rubino,New Leadership For Today's Health Care Professionals
Jones & Bartlett Learning,8/5/16,Martha Bradshaw,Innovative Teaching Strategies In Nursing And Related Health Professions / Edition 7
Jones & Bartlett Learning,3/30/09,Dr. Brenda Freshman,Collaboration Across The Disciplines In Health Care
Pearson,4/4/08,Kathryn W. Heller,"Understanding Physical, Health, and Multiple Disabilities / Edition 2"
Jones & Bartlett Learning,12/16/16,Charles R. McConnell,Umiker's Management Skills For The New Health Care Supervisor / Edition 7
Elsevier Health Sciences,9/27/16,Michelle Morrison-Valfre,Foundations of Mental Health Care / Edition 6
"American Psychiatric Publishing, Incorporated",12/8/15,Robert J. Hilt,DSM-5® Pocket Guide for Child and Adolescent Mental Health
Wiley,5/3/11,Robyn Hart,Therapeutic Activities for Children and Teens Coping with Health Issues / Edition 1
Internet Marketing Business,1/8/15,Roger Radford,"Pot Belly Pigs. Pot Belly Pigs Complete Owners Guide. Pot Bellied Pigs care, health, temperament, training, senses, costs, feeding and activities."
Pearson,1/18/17,Rebecca J. Donatelle,Access To Health / Edition 15
Pearson,5/11/15,Donita T D'Amico,Clinical Pocket Guide for Health & Physical Assessment in Nursing / Edition 3
Mometrix Media LLC,3/31/14,PSB Exam Secrets Test Prep Staff,PSB Health Occupations Exam Practice Questions
Pearson,1/15/17,Marc M. Triola,Biostatistics for the Biological and Health Sciences / Edition 2
Sterling,5/6/14,Jillian Sarno Teta,Natural Solutions for Digestive Health
Jones & Bartlett Learning,8/5/13,George D. Pozgar,Legal and Ethical Essentials Of Health Care Administration / Edition 2
LWW,12/14/17,Jane H. Kelley,Health Assessment in Nursing
Health Administration Press,1/28/15,Paul J. Feldstein,Health Policy Issues
Elsevier Health Sciences,2/15/13,Elaine A. Gillingham,LaFleur Brooks' Health Unit Coordinating / Edition 7
Cengage Learning,1/1/15,Cathie Robertson,"Safety, Nutrition and Health in Early Education / Edition 6"
Pearson,10/10/12,Harold M. Baillie,Health Care Ethics / Edition 6
Internet Marketing Business,5/28/16,Ben Team,"Bearded Dragon Care. Bearded Dragon Pet Owners Guide. Bearded Dragon care, behavior, diet, interacting, costs and health. Bearded dragon."
Cengage Learning,1/1/17,Dianne Hales,"An Invitation to Health, Brief Edition / Edition 10"
Evolution Knowledge Limited,7/31/13,Ann L Fletcher,"Holland Lop Rabbits The Complete Owner's Guide to Holland Lop Bunnies How to Care for your Holland Lop Pet, including Breeding, Lifespan, Colors, Health, Personality, Diet and Facts"
Human Kinetics Publishers,8/28/11,David Chenoweth,Worksite Health Promotion - 3rd Edition / Edition 3
Internet Marketing Business,1/8/15,George Hoppendale,"Mini Goldendoodles. The Ultimate Mini Goldendoodle Dog Manual. Miniature Goldendoodle book for care, costs, feeding, grooming, health and training."
Vanderbilt University Press,6/28/06,Nicholas Freudenberg,Cities and the Health of the Public / Edition 1
IMB Publishing,1/7/15,George Hoppendale,"Pembroke Welsh Corgis. The Ultimate Pembroke Welsh Corgi Dog Manual. Pembroke Welsh Corgi care, costs, feeding, grooming, health and training."
Jones & Bartlett Learning,3/15/17,James A. Johnson,Comparative Health Systems / Edition 2
American Health Information Management Association,1/1/12,Susan White,Principles of Finance for Health Information and Informatics Professionals / Edition 1
McGraw-Hill Higher Education,2/21/14,Shelley E Taylor,Health Psychology / Edition 9
Jones & Bartlett Learning,7/20/15,Bernard J. Turnock,Public Health / Edition 6
Pesa Publishing,5/3/15,Edward Ealing,"Shih Tzus Shih Tzu dog owners guide. Shih Tzu book for care, training & health."
Trivium Test Prep,8/11/16,PSB Health Occupations Exam Prep Team,PSB Health Occupations Study Guide: Exam Prep and Practice Test Questions for the PSB-HOAE Test
Internet Marketing Business,7/28/14,George Hoppendale,"Yorkies. the Ultimate Yorkie Dog Manual. Yorkies or Yorkshire Terriers Care, Costs, Feeding, Grooming, Health and Training All Included."
Pearson,6/22/16,Sherry Makely,Professionalism in Health Care / Edition 5
Jones & Bartlett Learning,1/16/15,Eileen E. Morrison,Ethics In Health Administration / Edition 3
Health Administration Press,5/1/10,Beaufort B. Longest,Health Policymaking in the United States / Edition 5
Feel Happy Limited,8/5/14,Alex Seymour,"French Bulldogs - Owners Guide from Puppy to Old Age. Buying, Caring For, Grooming, Health, Training and Understanding Your Frenchie"
Jones & Bartlett Learning,3/11/15,Robert H. Friis,Occupational Health And Safety For The 21St Century
Jones & Bartlett Learning,9/27/12,Margie Lovett-Scott,Global Health Systems
F. A. Davis Company,11/26/14,Angela N. Hissong,Research for the Health Professional / Edition 3
"Rodale Press, Inc.",4/28/04,David Joachim,"Man, a Can, a Microwave: 50 Tasty Meals You Can Nuke in No Time"
Feel Happy Limited,12/8/16,Alex Seymour,"Dachshunds - The Owner's Guide From Puppy To Old Age - Choosing, Caring for, Grooming, Health, Training and Understanding Your Standard or Miniature Dachshund Dog"
F. A. Davis Company,7/13/09,Marjorie E. Scaffa,Occupational Therapy in the Promotion of Health and Wellness / Edition 1
Elsevier Health Sciences,10/2/13,Sharon Smith Murray,Study Guide for Foundations of Maternal-Newborn and Women's Health Nursing / Edition 6
Feel Happy Limited,5/17/14,Alex Seymour,"Shih Tzu Dogs - The Complete Owners Guide from Puppy to Old Age. Buying, Caring For, Grooming, Health, Training and Understanding Your Shih Tzu."
Potter/TenSpeed/Harmony,2/23/16,Haylie Pomroy,Fast Metabolism Food Rx: 7 Powerful Prescriptions to Feed Your Body Back to Health
Springer Publishing Company,9/28/18,Denise Vanacore,Psychiatric Mental Health Nurse Practitioner Certification Review
Jones & Bartlett Learning,10/29/09,Judith A Ruple,Teaching Health Careers Education
West Academic,6/28/13,Barry R. Furrow,Health Law / Edition 7
HarperCollins Publishers,1/30/18,Ben Lynch,Dirty Genes: A Breakthrough Program to Treat the Root Cause of Illness and Optimize Your Health
Sterling,5/1/05,Eric R. Braverman,The Edge Effect: Achieve Total Health and Longevity with the Balanced Brain Advantage
Houghton Mifflin Harcourt,4/21/15,Melissa Hartwig,The Whole30: The 30-Day Guide to Total Health and Food Freedom
IMB Publishing,8/12/14,George Hoppendale,"The Miniature Australian Shepherd. The Ultimate Mini Australian Shepherd Manual Miniature Australian Shepherd care, costs, feeding, grooming, health and training all included."
Elsevier Health Sciences,12/14/17,Barbara Herlihy,Study Guide for The Human Body in Health and Illness
World Health Organization,1/28/14,World Health Organization,International Classification of Diseases for Oncology / Edition 3
Mayo Foundation,5/29/18,Scott C. Litin,Mayo Clinic Family Health Book
Gallery Books,10/31/17,Robyn Openshaw,"Vibe: Unlock the Energetic Frequencies of Limitless Health, Love & Success"
Elsevier Health Sciences,2/10/15,Deitra Leonard Lowdermilk,Study Guide for Maternity & Women's Health Care / Edition 11
Pearson,1/27/16,Christine N. Nathe,Dental Public Health and Research / Edition 4
Taylor & Francis,3/22/07,Cecil G. Helman,"Culture, Health and Illness, Fifth edition / Edition 5"
Jones & Bartlett Learning,10/17/12,Lanis Hicks,Economics Of Health And Medical Care / Edition 6
Internet Marketing Business,7/17/14,George Hoppendale,"Bernedoodles. The Ultimate Bernedoodle Dog Manual. Bernedoodle care, costs, feeding, grooming, health and training all included."
Storey Books,3/11/09,Heather Smith Thomas,The Cattle Health Handbook
Jones & Bartlett Learning,8/19/11,Michael H. Merson,Global Health / Edition 3
Pearson,2/5/13,James J. Neutens,Research Techniques for the Health Sciences / Edition 5
"Hay House, Inc.",4/17/18,Christiane Northrup,Dodging Energy Vampires: An Empath's Guide to Evading Relationships That Drain You and Restoring Your Health and Power
Elsevier Health Sciences,10/21/15,Marcia Stanhope,Public Health Nursing: Population-Centered Health Care in the Community / Edition 9
Potter/TenSpeed/Harmony,9/15/15,Pearl Barrett,Trim Healthy Mama Plan: The Easy-Does-It Approach to Vibrant Health and a Slim Waistline
"Little, Brown and Company",11/29/16,Mark Hyman,"The Eat Fat, Get Thin Cookbook: More Than 175 Delicious Recipes for Sustained Weight Loss and Vibrant Health"
Victory Belt Publishing,10/3/17,Carolyn Ketchum,"The Everyday Ketogenic Kitchen: With More than 150 Inspirational Low-Carb, High-Fat Recipes to Maximize Your Health"
Johns Hopkins University Press,4/23/17,Nancy L. Mace,"The 36-Hour Day: A Family Guide to Caring for People Who Have Alzheimer Disease, Other Dementias, and Memory Loss"
Elsevier Health Sciences,10/28/14,Mary A. Nies,Community/Public Health Nursing: Promoting the Health of Populations / Edition 6
St. Martin's Press,10/3/17,Bandy X. Lee,The Dangerous Case of Donald Trump: 27 Psychiatrists and Mental Health Experts Assess a President
Wellness Unmasked Publishing,5/17/07,Bradley Nelson,"The Emotion Code: How to Release Your Trapped Emotions for Abundant Health, Love and Happiness"
New World Library,11/15/16,Valerie Ann Worwood,"The Complete Book of Essential Oils and Aromatherapy: Over 800 Natural, Nontoxic, and Fragrant Recipes to Create Health, Beauty, and Safe Home and Work Environments"
F. A. Davis Company,7/21/15,Christine L. Savage,Public Health Science and Nursing Practice: Caring for Populations / Edition 1
"Little, Brown and Company",2/23/16,Mark Hyman,"Eat Fat, Get Thin: Why the Fat We Eat Is the Key to Sustained Weight Loss and Vibrant Health"
F. A. Davis Company,6/30/14,Joanna Rowe Kaakinen,"Family Health Care Nursing: Theory, Practice, and Research / Edition 5"
Wiley,3/13/12,Patrick M. Lencioni,The Advantage: Why Organizational Health Trumps Everything Else in Business
Wagging Tail Press,11/6/17,Melina B. Jampolis M.D,"Spice Up, Slim Down: A guide to adding spice to your diet to improve your health and lose weight"
Victory Belt Publishing,12/12/17,Suzanne Ryan,"Simply Keto: A Practical Approach to Health & Weight Loss, with 100+ Easy Low-Carb Recipes"
Penguin Publishing Group,2/24/09,Richard H. Thaler,"Nudge: Improving Decisions about Health, Wealth, and Happiness"
Baker Publishing Group,8/4/15,Caroline Leaf,"Switch On Your Brain: The Key to Peak Happiness, Thinking, and Health"
HarperCollins Publishers,5/2/17,Joel Fuhrman,"Eat to Live Quick and Easy Cookbook: 131 Delicious Recipes for Fast and Sustained Weight Loss, Reversing Disease, and Lifelong Health"
Victory Belt Publishing,3/15/16,Maria Emmerich,Quick & Easy Ketogenic Cooking: Meal Plans and Time Saving Paleo Recipes to Inspire Health and Shed Weight
Callisto Media,1/21/15,Althea Press,Essential Oils Natural Remedies: The Complete A-Z Reference of Essential Oils for Health and Healing
Candlewick Press,8/8/14,Robie H. Harris,"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health"
American Health Information Management Association,7/1/16,Nanette B. Sayles,Health Information Management Technology: An Applied Approach / Edition 5
Victory Belt Publishing,9/6/16,Diane Sanfilippo,"Practical Paleo, 2nd Edition (Updated and Expanded): A Customized Approach to Health and a Whole-Foods Lifestyle"
"Rodale Press, Inc.",5/9/17,William Davis,Undoctored: Why Health Care Has Failed You and How You Can Become Smarter Than Your Doctor
"Hay House, Inc.",11/14/17,Joseph Mercola,Fat for Fuel Ketogenic Cookbook: Recipes and Ketogenic Keys to Health from a World-Class Doctor and an Internationally Renowned Chef
CreateSpace Publishing,2/2/11,Chef AJ,Unprocessed: How to Achieve Vibrant Health and Your Ideal Weight
McGraw-Hill Professional Publishing,2/29/16,Thomas S. Bodenheimer,"Understanding Health Policy: A Clinical Approach, Seventh Edition / Edition 7"
Arcas Publishing,10/21/15,Dorothy Calimeris,The Anti-Inflammatory Diet & Action Plans: 4-Week Meal Plans to Heal the Immune System and Restore Overall Health
Elsevier Health Sciences,10/14/16,Elizabeth M. Varcarolis,Essentials of Psychiatric Mental Health Nursing: A Communication Approach to Evidence-Based Care / Edition 3
Penguin Publishing Group,1/28/98,Dave Ramsey,Financial Peace Planner: A Step-by-Step Guide to Restoring Your Family's Financial Health
Fall River Press,1/30/16,Callisto Media,Essential Oils Natural Remedies: The Complete A-Z Reference of Essential Oils for Health and Healing
Storey Books,3/8/16,Hannah Crum,"The Big Book of Kombucha: Brewing, Flavoring, and Enjoying the Health Benefits of Fermented Tea"
