ID,Publisher,Time,Author,Title
65,Cengage Learning,1/17/17,David R. Anderson,"Statistics for Business & Economics, Revised (with XLSTAT Education Edition Printed Access Card) / Edition 13"
66,CreateSpace Publishing,6/23/17,John DaRe,Car Business 101
67,Xlibris Corporation,10/25/17,Stantisha Kemp,"Mind, Business, and Success"
68,Wiley,4/28/99,Wendy Beech,Black Enterprise Guide to Starting Your Own Business
69,McGraw-Hill Higher Education,1/31/14,Donna S. Kienzler,Business and Administrative Communication / Edition 11
70,McGraw-Hill Higher Education,4/3/15,Amy Phillips,Business Driven Information Systems / Edition 5
71,McGraw-Hill Higher Education,2/25/15,Jane P. Mallor,Business Law / Edition 16
72,Jones & Bartlett Learning,10/12/10,Scott Rosner,The Business Of Sports / Edition 2
73,Wiley,4/7/14,Veechi Curtis,Creating a Business Plan For Dummies
74,Wiley,6/29/15,Loren Weisman,Music Business For Dummies
75,DK,3/6/12,Ed Paulson,"The Complete Idiot's Guide to Starting Your Own Business, 6th Edition"
76,Harvard Business Review Press,10/2/12,Harvard Business Review,HBR Guide to Finance Basics for Managers
77,SAGE Publications,2/4/16,David Baskerville,Music Business Handbook and Career Guide / Edition 11
78,Maverick Books TX,10/15/11,John R. Erickson,Hank the Cowdog and Monkey Business (Hank the Cowdog Series #14)
79,Cengage Learning,1/5/15,Jeffrey F. Beatty,"Business Law and the Legal Environment, Standard Edition / Edition 7"
80,Harvard Business Review Press,1/15/13,Harvard Business Review,HBR Guide to Managing Up and Across
81,Harvard Business Review Press,4/3/18,Harvard Business Review,HBR Guide to Data Analytics Basics for Managers (HBR Guide Series)
82,LiveFullOut Media,9/1/16,Romi Neustadt,Get Over Your Damn Self: The No-BS Blueprint to Building A Life-Changing Business
83,McGraw-Hill Professional Publishing,10/24/17,Rajeev Peshawaria,Open Source Leadership: Reinventing Management When There's No More Business as Usual
84,Atria/Emily Bestler Books,3/6/18,Jack Carr,The Terminal List: A Thriller
85,HarperCollins Publishers,12/26/06,Robert B. Cialdini PhD,influence: The Psychology of Persuasion
86,Silhouette,12/11/17,Nora Roberts,"Nora Roberts Mystery Box Set: Mind Over Matter\Treasures Lost, Treasures Found\The Art of Deception\Risky Business"
87,Wiley,3/13/12,Patrick M. Lencioni,The Advantage: Why Organizational Health Trumps Everything Else in Business
88,Wiley,10/16/17,Oliver Ratzesberger,The Sentient Enterprise: The Evolution of Business Decision Making
89,Wiley,11/13/17,Michael Alden,"Blueprint to Business: An Entrepreneur's Guide to Taking Action, Committing to the Grind, And Doing the Things That Most People Won't"
90,Taylor & Francis,7/30/14,Paul Allen,Artist Management for the Music Business
91,Gale Group,5/16/18,Carl Weber,The Family Business 4
92,HarperCollins Publishers,9/1/15,Esphyr Slobodkina,"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business"
93,Kensington,8/21/18,Desiree Holt,A Deadly Business
94,"BenBella Books, Inc.",4/3/12,Gino Wickman,Traction: Get a Grip on Your Business
95,McGraw-Hill Higher Education,1/6/15,O. C. Ferrell,Business: A Changing World / Edition 10
96,HarperCollins Publishers,1/30/18,Gary Vaynerchuk,"Crushing It!: How Great Entrepreneurs Build Their Business and Influence-and How You Can, Too"
97,McGraw-Hill Professional Publishing,2/8/16,O. C. Ferrell,M: Business / Edition 5
98,Wiley,3/16/18,Consumer Dummies,Business Skills All-in-One For Dummies
99,Harvard Business Review Press,5/8/18,Harvard Business Review,Dealing with Difficult People (HBR Emotional Intelligence Series)
100,"SLACK, Incorporated",7/1/18,Savak Teymoorian,Essential Business Fundamentals for the Successful Eye Care Practice
101,True 2 Life Productions,7/28/14,Al-Saadiq Banks,Block Party 4: Back 2 Business
102,The Crown Publishing Group,6/7/11,Richard Branson,"Losing My Virginity: How I Survived, Had Fun, and Made a Fortune Doing Business My Way"
103,HarperCollins Publishers,3/4/14,Ben Horowitz,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers
104,HarperCollins Publishers,11/24/05,Jim Collins,Good to Great and the Social Sectors: Why Business Thinking Is Not the Answer
105,Wiley,7/6/10,Alexander Osterwalder,"Business Model Generation: A Handbook for Visionaries, Game Changers, and Challengers / Edition 1"
106,HarperCollins Publishers,1/29/08,Danny Meyer,Setting the Table: The Transforming Power of Hospitality in Business
107,Wiley,9/21/15,Jon Gordon,"You Win in the Locker Room First: The 7 C's to Build a Winning Team in Business, Sports, and Life"
108,The Crown Publishing Group,4/29/14,Steve Mariotti,The Young Entrepreneur's Guide to Starting and Running a Business: Turn Your Ideas into Money!
109,McGraw-Hill Higher Education,9/28/12,Ronald B Adler,Communicating at Work: Principles and Practices for Business and the Professions / Edition 11
110,CreateSpace Publishing,11/26/15,Georgi Tsvetanov,Visual Finance: The One Page Visual Model to Understand Financial Statements and Make Better Business Decisions
111,Penguin Publishing Group,5/10/16,Don Tapscott,"Blockchain Revolution: How the Technology Behind Bitcoin Is Changing Money, Business, and the World"
112,Kensington,1/30/18,Carl Weber,The Family Business 4: A Family Business Novel
113,Riverhead Books; 1 edition,3/5/13,Khaled Hosseini,The Kite Runner
114,Robbins Publishing Inc,10/9/13,Sarah Robbins,Rock Your Network Marketing Business: How to Become a Network Marketing Rock Star
115,Ramsey Press,4/17/17,Christy Wright,Business Boutique: A Woman's Guide for Making Money Doing What She Loves
116,Penguin Publishing Group,2/21/17,Mike Michalowicz,Profit First: Transform Your Business from a Cash-Eating Monster to a Money-Making Machine
117,HarperCollins Publishers,9/26/17,Caleb Wilde,Confessions of a Funeral Director: How the Business of Death Saved My Life
118,IT Revolution Press,10/16/14,Gene Kim,"The Phoenix Project: A Novel about IT, DevOps, and Helping Your Business Win"
119,Simon & Schuster,11/10/15,Donald S. Passman,All You Need to Know about the Music Business: Ninth Edition
120,Penguin Publishing Group,3/13/18,Elisabeth  Rosenthal,An American Sickness: How Healthcare Became Big Business and How You Can Take It Back
121,Entrepreneur Press,1/13/15,Entrepreneur Media Staff,"Start Your Own Business, Sixth Edition: The Only Startup Book You'll Ever Need"
122,Random House Publishing Group,3/27/18,Nicole Edwards,Bad Business: A Bad Boys of Sports Novel
123,Penguin Publishing Group,9/6/16,Yvon Chouinard,Let My People Go Surfing: The Education of a Reluctant Businessman--Including 10 More Years of Business Unusual
124,Wiley,2/2/10,Patrick M. Lencioni,Getting Naked: A Business Fable about Shedding the Three Fears That Sabotage Client Loyalty
125,"Barron's Educational Series, Incorporated",4/1/14,John Downes,Dictionary of Finance and Investment Terms
126,Grand Central Publishing,3/28/01,Mike Krzyzewski,"Leading with the Heart: Coach K's Successful Strategies for Basketball, Business, and Life"
127,Harvard Business Review Press,1/7/08,Peter F. Drucker,Managing Oneself
128,Wiley,11/2/15,Cole Nussbaumer Knaflic,Storytelling with Data: A Data Visualization Guide for Business Professionals / Edition 1
129,Kensington,9/26/17,Carl Weber,The Family Business 3: A Family Business Novel
130,"BenBella Books, Inc.",4/12/16,Gino Wickman,Rocket Fuel: The One Essential Combination That Will Get You More of What You Want from Your Business
131,Center Street,3/20/18,Areva Martin,Make It Rain!: How to Use the Media to Revolutionize Your Business & Brand
132,Diversion Books,6/17/13,Mark Cuban,"How to Win at the Sport of Business: If I Can Do It, You Can Do It"
133,Penguin Publishing Group,11/12/09,Seth Godin,Purple Cow: Transform Your Business by Being Remarkable
134,Random House Publishing Group,10/27/09,Alice Schroeder,The Snowball: Warren Buffett and the Business of Life
135,Greenleaf Book Group Press,3/1/12,Grant Cardone,Sell or Be Sold: How to Get Your Way in Business and in Life
136,Wiley,3/1/04,Patrick M. Lencioni,Death by Meeting: A Leadership Fable...about Solving the Most Painful Problem in Business
137,Howard Books,9/20/11,Dave Ramsey,EntreLeadership: 20 Years of Practical Business Wisdom from the Trenches
138,Penguin Publishing Group,12/27/05,Neil Postman,Amusing Ourselves to Death: Public Discourse in the Age of Show Business
139,PublicAffairs,5/27/14,Erin Meyer,The Culture Map: Breaking Through the Invisible Boundaries of Global Business
140,Potter/TenSpeed/Harmony,11/14/17,Suzanne Somers,"Two's Company: A Fifty-Year Romance with Lessons Learned in Love, Life & Business"
141,Oxford University Press,10/30/13,Joanne B. Ciulla,Honest Work: A Business Ethics Reader / Edition 3
142,Baker Publishing Group,2/28/17,William Douglas,The 25 Biblical Laws of Success: Powerful Principles to Transform Your Career and Business
143,Urban Land Institute,4/1/12,Richard Peiser,Professional Real Estate Development: The ULI Guide to the Business / Edition 3
144,Quercus,9/16/11,Henry Kimsey-House,"Co-Active Coaching: Changing Business, Transforming Lives / Edition 3"
145,Adams Media,7/24/06,Terri Morrison,"Kiss, Bow, Or Shake Hands: The Bestselling Guide to Doing Business in More Than 60 Countries"
146,Kensington,8/30/16,Carl Weber,No More Mr. Nice Guy: A Family Business Novel
147,Kensington,8/29/17,Carl Weber,Grand Opening 2: A Family Business Novel
148,Random House Publishing Group,7/2/13,Arthur Herman,Freedom's Forge: How American Business Produced Victory in World War II
149,Wiley,8/16/10,Edgar H. Schein,Organizational Culture and Leadership / Edition 4
150,Prosci Research,8/30/06,Jeffrey M. Hiatt,"Adkar: A Model for Change in Business, Government and Our Community"
151,Wiley,3/25/13,Weldon Long,The Power of Consistency: Prosperity Mindset Training for Sales and Business Professionals
152,McGraw-Hill Professional Publishing,1/31/17,O. C. Ferrell,Business Foundations: A Changing World / Edition 11
153,Grand Central Publishing,10/28/94,Chin-Ning Chu,"Thick Face, Black Heart: The Warrior Philosophy for Conquering the Challenges of Business and Life"
154,HarperCollins Publishers,1/28/14,Geoffrey A. Moore,"Crossing the Chasm, 3rd Edition: Marketing and Selling Disruptive Products to Mainstream Customers"
155,Penguin Publishing Group,3/29/16,Bob Burg,The Go-Giver Leader: A Little Story About What Matters Most in Business
156,Kensington,12/29/15,Carl Weber,To Paris with Love: A Family Business Novel
157,AMACOM,9/4/12,MIKE WEINBERG,New Sales. Simplified.: The Essential Handbook for Prospecting and New Business Development
158,The Crown Publishing Group,7/16/13,Jack Stack,"The Great Game of Business, Expanded and Updated: The Only Sensible Way to Run a Company"
159,Broadview Press,5/26/16,Paul MacRae,Business and Professional Writing: A Basic Guide for Americans
160,Penguin Publishing Group,5/9/17,Sam Zell,Am I Being Too Subtle?: Straight Talk From a Business Rebel
161,McGraw-Hill Professional Publishing,3/7/16,Anne T. Lawrence,"Business and Society: Stakeholders, Ethics, Public Policy / Edition 15"
162,Harvard Business Review Press,1/7/14,John Mackey,"Conscious Capitalism, With a New Preface by the Authors: Liberating the Heroic Spirit of Business"
163,Wiley,9/27/11,Denis Collins,Business Ethics: An Organizational Systems Approach to Designing Ethical Organizations / Edition 1
164,Hyperion,11/5/13,Michael Parrish DuDell,Shark Tank Jump Start Your Business: How to Launch and Grow a Business from Concept to Cash
165,CreateSpace Publishing,10/26/17,Moon Journal,"2018 planner: Pink Flower daily planner with weekly monthly calendar and at-a-glace 2018-2019 calendars: 1 year personal planner for business,life goals,passion,and happiness"
166,Wiley,10/16/17,Barbara Weltman,J.K. Lasser's Small Business Taxes 2018: Your Complete Guide to a Better Bottom Line
167,University of Chicago Press,10/6/17,Peter Ginna,"What Editors Do: The Art, Craft, and Business of Book Editing"
168,Penguin Publishing Group,8/28/12,Josh Kaufman,The Personal MBA: Master the Art of Business
169,"Planning Shop, The",6/1/14,Rhonda Abrams,Successful Business Plan: Secrets & Strategies / Edition 6
170,Wiley,4/3/12,David Weber,"The Food Truck Handbook: Start, Grow, and Succeed in the Mobile Food Business"
171,Potter/TenSpeed/Harmony,8/28/96,Jim Rohn,7 Strategies for Wealth and Happiness: Power Ideas from America's Foremost Business Philosopher
172,Harvard Business Review Press,10/31/17,Harvard Business Review,HBR's 10 Must Reads 2018: The Definitive Management Ideas of the Year from Harvard Business Review (with bonus article
173,Multnomah; Paperback with Study Guide edition,5/9/05,Francine Rivers,Redeeming Love
174,Columbia University Press,5/1/11,Howard Marks,The Most Important Thing: Uncommon Sense for the Thoughtful Investor
175,Hay House UK,2/21/17,Carrie Green,She Means Business: Turn Your Ideas into Reality and Become a Wildly Successful Entrepreneur
176,"Oxford University Press, USA",1/27/12,Joseph G. Schloss,"Rock: Music, Culture, and Business"
177,Penguin Publishing Group,3/6/18,Adam Alter,Irresistible: The Rise of Addictive Technology and the Business of Keeping Us Hooked
178,Wiley,6/1/10,John C. Bogle,"Enough: True Measures of Money, Business, and Life"
179,Berrett-Koehler Publishers,9/2/13,Edgar H. Schein,Humble Inquiry: The Gentle Art of Asking Instead of Telling
180,"O'Reilly Media, Incorporated",8/16/13,Foster Provost,Data Science for Business: What you need to know about data mining and data-analytic thinking / Edition 1
181,Entrepreneur Press,8/9/16,Entrepreneur Media staff,Start Your Own Lawn Care or Landscaping Business: Your Step-by-Step Guide to Success
182,Morgan James Publishing,6/24/14,Jeff Walker,"Launch: An Internet Millionaire's Secret Formula To Sell Almost Anything Online, Build A Business You Love, And Live The Life Of Your Dreams"
183,Harvard Business Review Press,1/3/17,Harvard Business Review,The Harvard Business Review Manager's Handbook: The 17 Skills Leaders Need to Stand Out
184,Entrepreneur Press,1/13/15,Entrepreneur Media Staff,Write Your Business Plan: Get Your Plan in Place and Your Business off the Ground
185,"Rowman & Littlefield Publishers, Inc.",1/1/18,Gerard Helferich,"An Unlikely Trust: Theodore Roosevelt, J.P. Morgan, and the Improbable Partnership That Remade American Business"
186,"Norton, W. W. & Company, Inc.",1/4/10,Avinash K. Dixit,The Art of Strategy: A Game Theorist's Guide to Success in Business and Life
187,Wiley,5/22/18,Kim Christfort,Business Chemistry: Practical Magic for Crafting Powerful Work Relationships
188,Crown/Archetype,5/15/12,Dick Van Dyke,My Lucky Life In and Out of Show Business: A Memoir
189,Cengage Learning,1/1/16,O. C. Ferrell,Business Ethics: Ethical Decision Making & Cases / Edition 11
190,Entrepreneur Press,5/12/15,The Staff of Entrepreneur Media,Start Your Own Food Truck Business: Cart * Trailer * Kiosk * Standard and Gourmet Trucks * Mobile Catering * Bustaurant
191,"BenBella Books, Inc.",4/8/14,Gino Wickman,Get a Grip: How to Get Everything You Want from Your Entrepreneurial Business
192,"Barron's Educational Series, Incorporated",7/1/17,Jack P. Friedman Ph.D,Dictionary of Real Estate Terms
193,HarperCollins Publishers,7/24/12,Steven A Silbiger,The Ten-Day MBA 4th Ed.: A Step-by-Step Guide to Mastering the Skills Taught In America's Top Business Schools
194,The Crown Publishing Group,2/28/98,Kevin Freiberg,Nuts!: Southwest Airlines' Crazy Recipe for Business and Personal Success
195,C&T Publishing / Stash Books,12/1/14,Virginia Lindsay,Sewing to Sell-The Beginner's Guide to Starting a Craft Business: Bonus-16 Starter Projects * How to Sell Locally & Online
196,Grand Central Publishing,11/28/06,Michael Levine,"Broken Windows, Broken Business: How the Smallest Remedies Reap the Biggest Rewards"
197,Entrepreneur Press,4/14/15,The Staff of Entrepreneur Media,Start Your Own Event Planning Business: Your Step-By-Step Guide to Success
198,Columbia University Press,8/15/17,Joel Tillinghast,"Big Money Thinks Small: Biases, Blind Spots, and Smarter Investing"
199,Penguin Publishing Group,11/14/17,Shawn Askinosie,"Meaningful Work: A Quest to Do Great Business, Find Your Calling, and Feed Your Soul"
200,"Hal Elrod International, Inc.",10/23/15,Hal Elrod,The Miracle Morning for Network Marketers: Grow Yourself FIRST to Grow Your Business Fast
201,Wiley,6/7/16,Galit Shmueli,"Data Mining for Business Analytics: Concepts, Techniques, and Applications with JMP Pro / Edition 1"
202,Wiley,5/9/16,William Mougayar,"The Business Blockchain: Promise, Practice, and Application of the Next Internet Technology"
203,William Morrow; Reissue edition,3/29/11,Agatha Christie,And Then There Were None
204,Atria Books,9/29/09,John Assaraf,"The Answer: Grow Any Business, Achieve Financial Freedom, and Live an Extraordinary Life"
205,Knopf Doubleday Publishing Group,8/16/05,James Surowiecki,"The Wisdom of Crowds: Why the Many Are Smarter Than the Few and How Collective Wisdom Shapes Business, Economies, Societies and Nations"
206,Marvel,1/16/18,Josh Corin,Spider-Man/Deadpool Vol. 4: Serious Business
207,McGraw-Hill Professional Publishing,12/13/99,William J. O'Neil,24 Essential Lessons for Investment Success: Learn the Most Important Investment Techniques from the Founder of Investor's Business Daily / Edition 1
208,"RDA Press, LLC",5/29/12,Garrett Sutton,Writing Winning Business Plans: How to Prepare a Business Plan that Investors Will Want to Read and Invest In
209,Penguin Publishing Group,7/5/12,Mike Michalowicz,The Pumpkin Plan: A Simple Strategy to Grow a Remarkable Business in Any Field
210,Entrepreneur Press,4/28/15,Mark J. Kohler,The Tax and Legal Playbook: Game-Changing Solutions to Your Small-Business Questions
211,Pearson,6/25/07,Thomas Donaldson,Ethical Issues in Business: A Philosophical Approach / Edition 8
212,Da Capo Books,4/6/10,Donald J. Trump,Think Like a Champion: An Informal Education In Business and Life
213,Columbia University Press,1/15/13,Howard Marks,The Most Important Thing Illuminated: Uncommon Sense for the Thoughtful Investor
214,Kensington,5/31/16,Carl Weber,Grand Opening: A Family Business Novel
215,CreateSpace Publishing,1/22/17,Simply Planners,"Monthly Budget Planner: Bill Paying Organizer, Home Budget Planner, Track Business Expenses"
216,Lulu.com,5/26/15,Marianne Bradford,"Modern ERP: Select, Implement, and Use Today's Advanced Business Systems"
217,"Berrett-Koehler Publishers, Inc.",2/1/09,Richard A. Swanson,Foundations of Human Resource Development / Edition 2
218,Taylor Trade Publishing,11/17/16,Bernard B. Kamoroff,"Small Time Operator: How to Start Your Own Business, Keep Your Books, Pay Your Taxes, and Stay Out of Trouble"
219,Wiley,12/27/16,Edgar H. Schein,Organizational Culture and Leadership / Edition 5
220,Indie Books International,1/11/18,Sharon Rich,Your Hidden Game: Ten Invisible Agreements That Can Make or Break Your Business
221,Joseph Rudolph Publishers,3/4/16,Patrick Galvin,The Connector's Way: A Story About Building Business One Relationship at a Time
222,HarperCollins Publishers,6/2/09,Henry Cloud,Integrity: The Courage to Meet the Demands of Reality: How Six Essential Qualities Determine Your Success in Business
223,HarperCollins Publishers,9/21/10,Jon Scieszka,Guys Read: Funny Business
224,CreateSpace Publishing,3/4/14,LaFoy Orlando Thomas III Esq.,Generational Wealth: Beginner's Business & Investing Guide
225,"Rodale Press, Inc.",3/7/17,Ulrich Boser,"Learn Better: Mastering the Skills for Success in Life, Business, and School, or, How to Become an Expert in Just About Anything"
226,Liveright Publishing Corporation,12/20/16,Ari Herstand,How To Make It in the New Music Business: Practical Tips on Building a Loyal Following and Making a Living as a Musician
227,Simon & Schuster,1/16/18,Carl J. Schramm,Burn the Business Plan: What Great Entrepreneurs Really Do
228,Mometrix Media LLC,3/31/14,Praxis II Exam Secrets Test Prep Staff,Praxis II Business Education: Content Knowledge (5101) Exam - Secrets Study Guide
229,Wiley; 2 edition,8/18/14,Taylor Larimore,The Bogleheads' Guide to Investing
230,Skyhorse Publishing,10/17/17,Theodore Roosevelt Malloch,Common-Sense Business: Principles for Profitable Leadership
231,"Point B, Incorporated",4/11/16,Thomas Lah,Technology-as-a-Service Playbook: How to Grow a Profitable Subscription Business
232,HarperCollins Publishers,2/7/06,Thomas J. Peters,In Search of Excellence: Lessons from America's Best-Run Companies
233,The Crown Publishing Group,9/19/06,Linda Kaplan Thaler,The Power of Nice: How to Conquer the Business World with Kindness
234,4C Press,1/30/18,Chris Ducker,Rise of the Youpreneur: The Definitive Guide to Becoming the Go-To Leader in Your Industry and Building a Future-Proof Business
235,Lightning Source Inc,4/13/14,Greg Crabtree,"Simple Numbers, Straight Talk, Big Profits! : 4 Keys to Unlock Your Business Potential"
236,Penguin Publishing Group,8/2/16,Paul Downs,Boss Life: Surviving My Own Small Business
237,Wiley,4/10/17,Adam Toren,Starting Your Own Business: Become an Entrepreneur!
238,Penguin Publishing Group,5/27/08,Chet Holmes,The Ultimate Sales Machine: Turbocharge Your Business with Relentless Focus on 12 Key Strategies
239,CreateSpace Publishing,8/26/13,David Zielinski,"The Welding Business Owner's Hand Book: How to Start, Establish and Grow a Welding or Manufacturing Business"
240,Clydesdale Press,10/31/17,Henry Robert,"Robert's Rules of Order: The Original Manual for Assembly Rules, Business Etiquette, and Conduct"
241,CreateSpace Publishing,1/23/17,Suzanne Carpenter,"Art Of Candle Making Business Startup: How to Start, Run & Grow a Million Dollar Success From Home!"
242,Tom Ferry Publishing,6/15/17,Tom Ferry,"Mindset, Model and Marketing!: The Proven Strategies to Transform and Grow Your Real Estate Business"
243,"Barron's Educational Series, Incorporated",9/1/13,Peter J. Eisen,Accounting
244,SAGE Publications,1/29/16,Kelly M. Quintanilla,Business and Professional Communication: KEYS for Workplace Excellence / Edition 3
245,Flatiron Books,9/26/17,Jim Koch,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two
246,Random House Publishing Group,3/8/16,Charles Duhigg,Smarter Faster Better: The Transformative Power of Real Productivity
247,Wiley,3/28/01,Allan H. Church,Designing and Using Organizational Surveys: A Seven-Step Process / Edition 1
248,CreateSpace Publishing,9/5/15,T K Johnson,"How To Build A Freight and Trucking Business: The Only Book You Need To Launch, Grow & Succeed"
249,Wiley,2/8/11,Sam Calagione,"Brewing Up a Business: Adventures in Beer from the Founder of Dogfish Head Craft Brewery, Revised and Updated"
250,Cloud Camp Press,1/30/15,Philip F. Anschutz,"Out Where the West Begins: Profiles, Visions, and Strategies of Early Western Business Leaders"
251,Berrett-Koehler Publishers,2/1/16,Ken Jennings,"The Serving Leader: Five Powerful Actions to Transform Your Team, Business, and Community"
252,Berrett-Koehler Publishers,4/15/13,Jennifer B. Kahnweiler,The Introverted Leader: Building on Your Quiet Strength
253,SAGE Publications,11/26/08,John S. Hill,International Business: Competing in the Global Marketplace / Edition 11
